City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,punta arenas,-53.15,-70.9167,279.21,70,20,8.75,CL,1686618656
153,russellville,35.2784,-93.1338,296.37,70,75,2.06,US,1686619208
154,kirando,-7.4167,30.6,297.63,56,96,2.69,TZ,1686619209
155,kurkino,53.4257,38.6582,283.13,71,100,6.65,RU,1686619209
156,port moresby,-9.4431,147.1797,302.83,70,40,2.57,PG,1686619094
157,lata,40.1629,-8.3327,291.52,98,100,1.62,PT,1686619209
158,monteiro,-7.8894,-37.12,292.56,93,0,2.91,BR,1686619210
159,gamba,-2.65,10.0,296.22,93,99,1.83,GA,1686619210
160,college,64.8569,-147.8028,291.33,36,75,4.12,US,1686618815
161,hualien city,23.9769,121.6044,300.74,87,100,2.97,TW,1686619211
162,burgas,42.5061,27.4678,291.21,77,40,1.54,BG,1686619211
163,bo rai,12.5728,102.5371,300.63,86,100,3.22,TH,1686619211
164,ta`u,-14.2336,-169.5144,300.94,71,54,7.64,AS,1686618768
165,debesy,57.6529,53.8049,279.55,71,2,1.38,RU,1686619212
166,inirida,3.8653,-67.9239,297.19,92,49,0.97,CO,1686618864
167,udachny,66.4167,112.4,288.4,38,20,7.06,RU,1686618765
168,saudarkrokur,65.7461,-19.6394,282.69,79,12,2.6,IS,1686618817
169,ramadi,33.4226,43.3058,304.94,21,49,5.14,IQ,1686619213
170,hami,42.8,93.45,303.7,17,31,6.4,CN,1686618837
171,lebu,-37.6167,-73.65,281.48,75,0,7.44,CL,1686618500
172,port hueneme,34.1478,-119.1951,294.44,75,75,5.14,US,1686619213
173,remire-montjoly,4.9167,-52.2667,298.17,100,0,1.03,GF,1686618802
174,ribeira grande,38.5167,-28.7,291.91,97,7,1.79,PT,1686618751
175,gewane,10.1664,40.6453,302.79,45,100,0.54,ET,1686619214
176,susuman,62.7833,148.1667,290.1,65,100,2.4,RU,1686619216
177,kolonia town,6.964,158.206,305.15,66,100,5.14,FM,1686619216
178,tofol,5.3248,163.0078,302.03,79,100,3.6,FM,1686619216
179,thompson,55.7435,-97.8558,296.09,40,98,2.73,CA,1686618819
180,san giorgio delle pertiche,45.541,11.894,291.96,88,100,4.17,IT,1686619217
181,biltine,14.5333,20.9167,301.69,54,63,5.17,TD,1686619217
182,cidreira,-30.1811,-50.2056,282.57,66,68,4.01,BR,1686619217
183,santa ana,33.7456,-117.8678,294.49,73,75,4.63,US,1686618991
184,kokshetau,53.2775,69.3883,285.82,56,100,5.2,KZ,1686619218
185,keflavik,64.0049,-22.5624,282.1,87,20,1.03,IS,1686618763
186,suva,-18.1416,178.4415,296.86,94,75,0.0,FJ,1686618770
187,kodyma,48.0988,29.1246,284.32,87,100,4.35,UA,1686619218
188,klaksvik,62.2266,-6.589,279.66,72,100,0.55,FO,1686618765
189,hithadhoo,-0.6,73.0833,301.82,71,18,4.39,MV,1686618818
190,valdivia,-39.8142,-73.2459,276.48,98,5,1.71,CL,1686619023
191,chicoana,-25.1009,-65.5331,279.29,55,95,1.09,AR,1686619219
192,revda,56.801,59.9303,277.84,69,0,1.03,RU,1686618805
193,codrington,-38.2667,141.9667,284.97,82,100,7.13,AU,1686618766
194,sinop,41.7711,34.8709,287.91,92,85,0.79,TR,1686619220
195,smyrna,33.884,-84.5144,295.96,72,75,4.12,US,1686618956
196,arroyo de la luz,39.4851,-6.584,290.35,79,11,2.64,ES,1686619220
197,gemena,3.25,19.7667,293.87,98,100,0.81,CD,1686619220
198,tralee,52.2704,-9.7026,288.04,95,75,0.95,IE,1686618783
199,sokoni,-6.4333,39.55,299.16,69,0,5.93,TZ,1686619221
200,ust'-ilimsk,58.0006,102.6619,286.13,47,100,2.5,RU,1686619221
201,road town,18.4167,-64.6167,302.2,78,15,10.12,VG,1686619221
202,enewetak,11.3474,162.3373,300.92,82,96,8.72,MH,1686618759
203,port mathurin,-19.6833,63.4167,297.84,69,0,6.47,MU,1686618808
204,kristiansund,63.1115,7.732,287.18,71,100,3.09,NO,1686618800
205,kruisfontein,-34.0033,24.7314,284.2,64,100,5.8,ZA,1686618833
206,paita,-5.0892,-81.1144,296.9,76,0,8.36,PE,1686618853
207,tsiombe,-25.3,45.4833,290.59,97,13,2.26,MG,1686619224
208,macclenny,30.2822,-82.1221,302.38,78,88,0.45,US,1686619185
209,petropavlovsk-kamchatsky,53.0452,158.6483,294.48,37,0,2.0,RU,1686618781
210,xinyuan,37.3,99.0,281.52,56,100,1.63,CN,1686619226
